v1,v2
929,511
929,538
929,663
929,11
929,558
929,165
929,343
929,490
929,619
929,818
929,103
929,87
929,191
929,926
929,1048
929,121
929,938
929,956
929,440
929,150
443,84
443,648
443,1022
443,822
443,733
443,157
443,151
443,41
443,149
443,868
443,604
443,408
443,91
443,252
443,212
443,742
443,42
443,536
443,20
443,175
443,36
443,258
443,795
443,915
443,781
443,879
443,110
443,825
443,816
443,248
399,817
399,403
399,554
399,850
399,94
399,972
399,181
399,882
399,158
399,381
399,77
399,369
399,951
399,506
399,510
399,505
399,46
399,810
399,251
399,234
399,884
399,804
399,878
399,799
399,731
399,391
399,609
399,193
399,975
399,244
399,289
399,584
399,697
399,707
399,579
399,664
399,982
399,594
909,216
909,817
909,919
909,882
909,504
909,77
909,369
909,506
909,1059
909,985
909,190
909,801
909,1054
909,360
909,921
909,47
909,578
909,391
909,321
909,609
909,376
909,193
909,289
909,697
909,508
909,579
909,37
909,229
909,906
909,905
256,27
256,876
256,478
256,230
256,527
256,774
256,1015
256,601
256,145
256,39
256,552
256,815
256,745
256,684
256,646
256,465
256,988
256,332
256,772
256,38
256,914
256,379
256,690
256,124
256,777
256,449
256,250
256,474
256,841
949,1020
949,1031
949,827
949,1021
949,247
949,680
949,994
949,35
949,417
949,642
949,732
949,131
949,297
949,686
949,99
949,638
949,83
949,184
949,613
949,764
949,736
949,1016
949,523
949,996
949,868
949,651
949,866
949,318
949,502
949,66
949,635
949,720
949,162
949,412
949,300
949,524
949,461
949,407
949,835
949,1027
949,469
949,202
827,1020
827,287
827,655
827,60
827,1031
827,949
827,52
827,680
827,994
827,476
827,131
827,297
827,631
827,729
827,686
827,99
827,940
827,1038
827,83
827,764
827,1005
827,736
827,1041
827,996
827,127
827,651
827,437
827,318
827,502
827,66
827,653
827,635
827,720
827,762
827,412
827,300
827,524
827,3
827,835
310,667
310,557
310,621
310,572
310,1032
310,529
310,624
310,279
310,458
310,1051
310,507
310,848
310,402
310,147
310,1010
310,798
310,917
310,334
310,260
310,790
310,120
310,606
310,405
310,178
310,272
310,793
310,887
310,1006
310,470
310,833
622,325
622,169
622,740
622,217
622,287
622,421
622,60
622,628
622,476
622,592
622,1042
622,265
622,631
622,729
622,686
622,530
622,49
622,338
622,940
622,6
622,953
622,1005
622,1041
622,789
622,522
622,653
622,762
622,28
622,471
622,3
74,528
74,814
74,577
74,98
74,632
74,615
74,929
74,784
74,294
74,995
74,333
74,171
74,750
74,246
74,532
74,534
74,544
74,270
74,969
74,459
74,931
74,558
74,165
74,591
74,490
74,897
74,103
74,327
74,87
74,102
74,457
74,238
74,150
765,813
765,1035
765,366
765,696
765,225
765,203
765,910
765,998
765,160
765,291
765,428
765,576
765,93
765,844
765,870
765,746
765,812
765,983
765,563
765,133
765,438
765,197
765,400
765,548
765,1017
765,824
765,894
765,236
765,811
765,911
765,394
765,186
585,89
585,33
585,13
585,233
585,209
585,16
585,737
585,550
585,32
585,386
585,466
585,59
585,1051
585,472
585,848
585,773
585,1057
585,1025
585,724
585,364
585,643
585,96
585,1008
585,55
585,15
585,947
585,130
585,336
585,706
585,426
585,649
585,249
585,794
585,23
585,340
585,1019
585,797
585,968
585,264
918,782
918,727
918,1031
918,994
918,648
918,733
918,41
918,728
918,677
918,525
918,183
918,764
918,644
918,1016
918,523
918,1004
918,704
918,604
918,91
918,695
918,66
918,92
918,362
918,175
918,85
918,300
918,987
918,258
918,915
52,1020
52,1033
52,148
52,287
52,655
52,315
52,827
52,756
52,618
52,962
52,628
52,476
52,979
52,634
52,275
52,125
52,729
52,359
52,940
52,1038
52,6
52,734
52,335
52,127
52,437
52,714
52,556
52,502
52,565
52,900
52,653
52,427
52,635
52,762
52,1028
52,830
52,471
52,82
52,3
1021,217
1021,60
1021,949
1021,247
1021,35
1021,1042
1021,642
1021,732
1021,131
1021,297
1021,631
1021,99
1021,638
1021,83
1021,184
1021,613
1021,1005
1021,1041
1021,789
1021,866
1021,63
1021,720
1021,162
1021,480
1021,461
1021,407
1021,835
1021,469
1021,202
784,528
784,814
784,743
784,98
784,632
784,929
784,74
784,995
784,454
784,333
784,171
784,246
784,532
784,390
784,534
784,544
784,354
784,969
784,188
784,954
784,663
784,931
784,165
784,343
784,490
784,818
784,587
784,103
784,87
784,926
