v1,v2
10,89
10,157
10,149
10,793
10,71
10,462
10,153
332,747
332,1193
332,1155
332,1231
332,692
332,689
332,1179
332,187
332,705
332,1009
332,754
332,757
332,649
332,160
332,257
332,137
332,244
332,752
332,401
332,1117
332,1029
332,942
332,139
332,411
332,751
332,586
332,480
332,1219
332,45
332,1247
332,601
332,787
332,426
332,995
332,1036
332,623
332,1084
332,905
332,918
332,896
332,343
332,874
332,122
488,267
488,569
488,196
488,1069
488,483
488,989
488,97
488,150
488,26
488,581
488,915
488,536
488,105
488,1262
488,181
488,1196
488,269
488,1160
488,233
488,1080
488,80
488,138
488,890
488,197
488,891
488,258
488,570
488,994
488,302
488,1082
488,290
488,921
488,573
488,226
488,913
488,1233
488,1213
488,1051
488,1163
488,1249
488,1188
925,219
925,193
925,300
925,937
925,907
925,867
925,1114
925,718
925,129
925,214
925,853
925,203
925,740
925,622
925,60
925,783
925,1044
925,523
925,113
925,115
925,270
925,473
925,1265
925,900
925,824
925,1146
925,717
925,151
925,1253
925,502
925,576
925,298
925,1244
925,215
925,897
925,1122
925,1073
925,678
925,299
925,1203
925,1173
925,54
925,845
925,827
925,170
925,525
925,703
925,486
210,385
210,412
210,868
210,829
210,231
210,1077
210,379
210,1274
210,372
210,712
210,1145
210,143
210,1089
210,857
210,1058
210,422
210,1123
210,424
210,297
210,1182
210,156
210,235
210,1251
210,229
210,409
210,822
210,960
210,830
210,484
210,274
210,560
210,715
210,1130
210,360
210,1148
210,217
1177,261
1177,1224
1177,864
1177,767
1177,307
1177,1065
1177,248
1177,281
1177,1243
1177,1223
1177,19
1177,1183
1177,974
1177,124
1177,940
1177,174
1177,110
1177,1062
1177,212
1177,514
1177,250
1177,1202
1177,962
1177,612
1177,433
1177,880
1177,232
1177,950
1177,775
1177,1100
1177,1134
1177,613
1177,1269
1177,984
224,118
224,746
224,439
224,609
224,920
224,547
224,1010
224,855
224,312
224,992
224,585
224,658
224,621
224,373
224,1033
224,708
224,1142
224,814
224,512
224,24
224,240
224,713
224,860
224,1232
224,304
224,175
224,811
224,141
224,358
224,1048
224,249
224,85
224,1105
224,1115
224,11
224,194
224,457
224,234
224,1211
224,1096
224,665
224,743
224,1021
224,100
224,1149
224,303
224,537
224,1147
224,1106
224,730
224,180
224,632
746,118
746,224
746,439
746,609
746,920
746,547
746,1010
746,855
746,312
746,992
746,585
746,658
746,621
746,373
746,1033
746,708
746,1142
746,814
746,512
746,24
746,713
746,860
746,1232
746,304
746,175
746,811
746,141
746,358
746,1048
746,249
746,85
746,1105
746,1115
746,11
746,194
746,457
746,234
746,1211
746,1096
746,665
746,743
746,1021
746,100
746,1149
746,303
746,537
746,1106
746,730
746,180
746,632
1200,104
1200,380
1200,95
1200,389
1200,1109
1200,88
1200,1151
1200,976
1200,731
1200,552
1200,348
1200,990
1200,1158
1200,1257
1200,374
1200,408
1200,1031
1200,1125
1200,881
1200,1057
1200,99
1200,926
1200,766
1200,1150
1200,629
1200,456
1200,690
1200,524
1200,841
1200,697
1200,744
1200,172
1200,184
1200,416
1200,980
1200,801
439,118
439,224
439,746
439,920
439,547
439,1010
439,855
439,585
439,658
439,621
439,373
439,1033
439,1142
439,814
439,512
439,240
439,713
439,1232
439,304
439,175
439,811
439,141
439,1048
439,249
439,85
439,1105
439,1115
439,11
439,457
439,234
439,1096
439,665
439,743
439,1021
439,1149
439,303
439,537
439,1147
439,1106
439,180
439,632
1114,219
1114,193
1114,300
1114,937
1114,907
1114,867
1114,925
1114,718
1114,129
1114,853
1114,203
1114,622
1114,60
1114,783
1114,1044
1114,523
1114,113
1114,115
1114,270
1114,1265
1114,900
1114,1146
1114,717
1114,151
1114,502
1114,576
1114,489
1114,479
1114,298
1114,1244
1114,898
1114,215
1114,190
1114,897
1114,1122
1114,1073
1114,678
1114,299
1114,54
1114,525
63,380
63,458
63,668
63,726
63,1112
63,1257
63,323
63,796
63,272
63,988
63,500
63,87
63,1070
63,521
63,964
63,1271
63,676
63,260
63,127
63,191
63,638
63,291
63,1139
63,78
63,27
63,839
63,1159
63,4
63,131
63,505
609,224
609,746
609,855
609,312
609,992
609,585
609,621
609,373
609,1033
609,708
609,814
609,24
609,713
609,860
609,304
609,175
609,358
609,1115
609,194
609,234
609,1211
609,1096
609,743
609,1021
609,100
609,1149
609,303
609,537
609,730
211,314
211,380
211,498
211,458
211,668
211,365
211,389
211,591
211,991
211,1041
211,726
211,1112
211,429
211,348
211,990
211,785
211,1030
211,323
211,796
211,788
211,127
211,441
211,881
211,693
211,599
211,1057
211,926
211,291
211,1248
211,1139
211,384
211,265
211,836
211,164
211,171
211,416
211,821
211,328
211,423
1245,266
1245,23
1245,431
1245,150
1245,581
1245,1138
1245,1172
1245,894
1245,294
1245,322
1245,858
1245,313
1245,233
1245,994
1245,1082
1245,290
1245,140
1245,573
1245,286
1245,1097
1245,289
1245,1233
1245,762
1245,691
1245,546
1245,442
1245,1002
1245,645
1245,563
1245,616
1245,70
1245,1163
1245,315
1245,1011
1245,686
1245,176
1245,844
1245,344
305,1074
305,21
305,12
305,48
305,976
305,552
305,359
305,777
305,584
305,535
305,464
305,583
305,263
305,1125
305,8
305,1275
305,766
305,1150
305,456
305,690
